Gene A	Gene B	Neither	A Not B	B Not A	Both	Log Odds Ratio	p-Value	Adjusted p-Value	Tendency
UBE3C	SOX3	366	16	7	0	<-3	0.744	1.000	Mutual exclusivity
TRIM33	SOX3	366	16	7	0	<-3	0.744	1.000	Mutual exclusivity
PAK4	HAVCR2	366	16	7	0	<-3	0.744	1.000	Mutual exclusivity
TRIM33	HAVCR2	366	16	7	0	<-3	0.744	1.000	Mutual exclusivity
TRIM33	SNW1	366	16	7	0	<-3	0.744	1.000	Mutual exclusivity
CRK	UBE3C	366	7	16	0	<-3	0.744	1.000	Mutual exclusivity
GSN	UBE3C	366	7	16	0	<-3	0.744	1.000	Mutual exclusivity
CRK	TRIM33	366	7	16	0	<-3	0.744	1.000	Mutual exclusivity
GSN	SON	366	7	16	0	<-3	0.744	1.000	Mutual exclusivity
SNW1	SON	366	7	16	0	<-3	0.744	1.000	Mutual exclusivity
MAPK7	KLF8	368	10	11	0	<-3	0.748	1.000	Mutual exclusivity
SIN3A	GAPDH	365	18	6	0	<-3	0.751	1.000	Mutual exclusivity
OVOL2	FBXO11	368	9	12	0	<-3	0.752	1.000	Mutual exclusivity
OVOL2	GRN	368	9	12	0	<-3	0.752	1.000	Mutual exclusivity
FBXO11	AGTR1	368	12	9	0	<-3	0.752	1.000	Mutual exclusivity
OVOL2	QKI	368	9	12	0	<-3	0.752	1.000	Mutual exclusivity
SFTPC	ARRB1	363	21	5	0	<-3	0.757	1.000	Mutual exclusivity
NOTCH4	GLS	363	21	5	0	<-3	0.757	1.000	Mutual exclusivity
MMD	SFTPC	363	5	21	0	<-3	0.757	1.000	Mutual exclusivity
ACTN4	CXCR2	367	15	7	0	<-3	0.758	1.000	Mutual exclusivity
PRKCA	EPS8	367	15	7	0	<-3	0.758	1.000	Mutual exclusivity
ACTN4	CRK	367	15	7	0	<-3	0.758	1.000	Mutual exclusivity
PRKCA	CRK	367	15	7	0	<-3	0.758	1.000	Mutual exclusivity
ACTN4	GSN	367	15	7	0	<-3	0.758	1.000	Mutual exclusivity
ACTN4	BIRC2	367	15	7	0	<-3	0.758	1.000	Mutual exclusivity
PRKCA	BIRC2	367	15	7	0	<-3	0.758	1.000	Mutual exclusivity
ACTN4	SOX3	367	15	7	0	<-3	0.758	1.000	Mutual exclusivity
PRKCA	SOX3	367	15	7	0	<-3	0.758	1.000	Mutual exclusivity
ACTN4	HAVCR2	367	15	7	0	<-3	0.758	1.000	Mutual exclusivity
PRKCA	HAVCR2	367	15	7	0	<-3	0.758	1.000	Mutual exclusivity
ACTN4	SNW1	367	15	7	0	<-3	0.758	1.000	Mutual exclusivity
PRKCA	SNW1	367	15	7	0	<-3	0.758	1.000	Mutual exclusivity
ACTN4	SHH	367	15	7	0	<-3	0.758	1.000	Mutual exclusivity
SCIN	TRIM62	368	13	8	0	<-3	0.760	1.000	Mutual exclusivity
HDAC8	ITGA3	366	6	17	0	<-3	0.763	1.000	Mutual exclusivity
ITGA3	GAPDH	366	17	6	0	<-3	0.763	1.000	Mutual exclusivity
G3BP1	MDM4	366	17	6	0	<-3	0.763	1.000	Mutual exclusivity
ITGA3	MDM4	366	17	6	0	<-3	0.763	1.000	Mutual exclusivity
HDAC8	TP73	366	6	17	0	<-3	0.763	1.000	Mutual exclusivity
GAPDH	TP73	366	6	17	0	<-3	0.763	1.000	Mutual exclusivity
MDM4	TP73	366	6	17	0	<-3	0.763	1.000	Mutual exclusivity
GAPDH	FSHR	366	6	17	0	<-3	0.763	1.000	Mutual exclusivity
ITGB4	GSK3A	360	25	4	0	<-3	0.766	1.000	Mutual exclusivity
ITGB4	IRF8	360	25	4	0	<-3	0.766	1.000	Mutual exclusivity
KMT2A	CREB1	353	33	3	0	<-3	0.766	1.000	Mutual exclusivity
TLE1	MAPK7	369	10	10	0	<-3	0.768	1.000	Mutual exclusivity
OVOL2	IGSF8	369	9	11	0	<-3	0.770	1.000	Mutual exclusivity
OVOL2	KLF8	369	9	11	0	<-3	0.770	1.000	Mutual exclusivity
PBXIP1	OVOL2	369	11	9	0	<-3	0.770	1.000	Mutual exclusivity
IGSF8	AGTR1	369	11	9	0	<-3	0.770	1.000	Mutual exclusivity
CXCR2	HDAC6	368	7	14	0	<-3	0.772	1.000	Mutual exclusivity
EPS8	HDAC6	368	7	14	0	<-3	0.772	1.000	Mutual exclusivity
HDAC6	CRK	368	14	7	0	<-3	0.772	1.000	Mutual exclusivity
HDAC6	GSN	368	14	7	0	<-3	0.772	1.000	Mutual exclusivity
CRK	NRP2	368	7	14	0	<-3	0.772	1.000	Mutual exclusivity
GSN	NRP2	368	7	14	0	<-3	0.772	1.000	Mutual exclusivity
HDAC6	BIRC2	368	14	7	0	<-3	0.772	1.000	Mutual exclusivity
HDAC6	HAVCR2	368	14	7	0	<-3	0.772	1.000	Mutual exclusivity
NRP2	SNW1	368	14	7	0	<-3	0.772	1.000	Mutual exclusivity
EPS8	CARD10	368	7	14	0	<-3	0.772	1.000	Mutual exclusivity
CRK	CARD10	368	7	14	0	<-3	0.772	1.000	Mutual exclusivity
GSN	CARD10	368	7	14	0	<-3	0.772	1.000	Mutual exclusivity
HDAC8	PAK4	367	6	16	0	<-3	0.776	1.000	Mutual exclusivity
PAK4	AQP3	367	16	6	0	<-3	0.776	1.000	Mutual exclusivity
HDAC8	TRIM33	367	6	16	0	<-3	0.776	1.000	Mutual exclusivity
AQP3	TRIM33	367	6	16	0	<-3	0.776	1.000	Mutual exclusivity
TRIM33	GAPDH	367	16	6	0	<-3	0.776	1.000	Mutual exclusivity
AQP3	SON	367	6	16	0	<-3	0.776	1.000	Mutual exclusivity
MDM4	SON	367	6	16	0	<-3	0.776	1.000	Mutual exclusivity
TRIM62	TCF3	369	8	12	0	<-3	0.776	1.000	Mutual exclusivity
CUX1	ARRB1	365	19	5	0	<-3	0.777	1.000	Mutual exclusivity
CUX1	GLS	365	19	5	0	<-3	0.777	1.000	Mutual exclusivity
JAG1	GSK3A	362	23	4	0	<-3	0.783	1.000	Mutual exclusivity
JAG1	IRF8	362	23	4	0	<-3	0.783	1.000	Mutual exclusivity
FSCN2	CRK	369	13	7	0	<-3	0.787	1.000	Mutual exclusivity
SCIN	CRK	369	13	7	0	<-3	0.787	1.000	Mutual exclusivity
SCIN	HAVCR2	369	13	7	0	<-3	0.787	1.000	Mutual exclusivity
FSCN2	SNW1	369	13	7	0	<-3	0.787	1.000	Mutual exclusivity
SCIN	SNW1	369	13	7	0	<-3	0.787	1.000	Mutual exclusivity
SCIN	SHH	369	13	7	0	<-3	0.787	1.000	Mutual exclusivity
ETV1	SHH	369	13	7	0	<-3	0.787	1.000	Mutual exclusivity
ART1	FSCN2	369	7	13	0	<-3	0.787	1.000	Mutual exclusivity
CXCR2	ETV1	369	7	13	0	<-3	0.787	1.000	Mutual exclusivity
CRK	ETV1	369	7	13	0	<-3	0.787	1.000	Mutual exclusivity
GSN	ETV1	369	7	13	0	<-3	0.787	1.000	Mutual exclusivity
HAVCR2	ETV1	369	7	13	0	<-3	0.787	1.000	Mutual exclusivity
STAT1	MMD	366	18	5	0	<-3	0.788	1.000	Mutual exclusivity
ACTN4	HDAC8	368	15	6	0	<-3	0.789	1.000	Mutual exclusivity
PRKCA	AQP3	368	15	6	0	<-3	0.789	1.000	Mutual exclusivity
PRKCA	GAPDH	368	15	6	0	<-3	0.789	1.000	Mutual exclusivity
HDAC8	PRKCA	368	6	15	0	<-3	0.789	1.000	Mutual exclusivity
OVOL2	MAPK7	370	9	10	0	<-3	0.789	1.000	Mutual exclusivity
TRIM62	KLF8	370	8	11	0	<-3	0.793	1.000	Mutual exclusivity
MMD	TP73	367	5	17	0	<-3	0.799	1.000	Mutual exclusivity
ARRB1	TP73	367	5	17	0	<-3	0.799	1.000	Mutual exclusivity
MMD	FSHR	367	5	17	0	<-3	0.799	1.000	Mutual exclusivity
ARRB1	FSHR	367	5	17	0	<-3	0.799	1.000	Mutual exclusivity
CAPNS1	SFTPC	364	4	21	0	<-3	0.800	1.000	Mutual exclusivity
EED	SFTPC	364	4	21	0	<-3	0.800	1.000	Mutual exclusivity
NOTCH4	GSK3A	364	21	4	0	<-3	0.800	1.000	Mutual exclusivity
SFTPC	GSK3A	364	21	4	0	<-3	0.800	1.000	Mutual exclusivity
NOTCH4	IRF8	364	21	4	0	<-3	0.800	1.000	Mutual exclusivity
SFTPC	IRF8	364	21	4	0	<-3	0.800	1.000	Mutual exclusivity
SFTPC	EGFL7	364	21	4	0	<-3	0.800	1.000	Mutual exclusivity
AQP3	NRP2	369	6	14	0	<-3	0.801	1.000	Mutual exclusivity
NRP2	MDM4	369	14	6	0	<-3	0.801	1.000	Mutual exclusivity
AQP3	CARD10	369	6	14	0	<-3	0.801	1.000	Mutual exclusivity
FBXO11	BIRC2	370	12	7	0	<-3	0.802	1.000	Mutual exclusivity
FBXO11	SOX3	370	12	7	0	<-3	0.802	1.000	Mutual exclusivity
FBXO11	HAVCR2	370	12	7	0	<-3	0.802	1.000	Mutual exclusivity
GRN	SHH	370	12	7	0	<-3	0.802	1.000	Mutual exclusivity
ART1	FBXO11	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
EPS8	FBXO11	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
EPS8	GRN	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
CRK	GRN	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
CXCR2	PKP3	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
EPS8	PKP3	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
CRK	PKP3	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
GSN	PKP3	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
BIRC2	PKP3	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
HAVCR2	PKP3	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
CRK	QKI	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
GSN	QKI	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
SOX3	QKI	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
SNW1	QKI	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
SHH	QKI	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
CXCR2	TCF3	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
EPS8	TCF3	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
CRK	TCF3	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
GSN	TCF3	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
BIRC2	TCF3	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
SOX3	TCF3	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
HAVCR2	TCF3	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
SNW1	TCF3	370	7	12	0	<-3	0.802	1.000	Mutual exclusivity
OVOL2	AGTR1	371	9	9	0	<-3	0.808	1.000	Mutual exclusivity
PAK4	MMD	368	16	5	0	<-3	0.810	1.000	Mutual exclusivity
PAK4	ARRB1	368	16	5	0	<-3	0.810	1.000	Mutual exclusivity
MMD	UBE3C	368	5	16	0	<-3	0.810	1.000	Mutual exclusivity
ARRB1	UBE3C	368	5	16	0	<-3	0.810	1.000	Mutual exclusivity
MMD	TRIM33	368	5	16	0	<-3	0.810	1.000	Mutual exclusivity
TRIM33	GLS	368	16	5	0	<-3	0.810	1.000	Mutual exclusivity
MMD	SON	368	5	16	0	<-3	0.810	1.000	Mutual exclusivity
ARRB1	SON	368	5	16	0	<-3	0.810	1.000	Mutual exclusivity
FSCN2	AQP3	370	13	6	0	<-3	0.814	1.000	Mutual exclusivity
SCIN	AQP3	370	13	6	0	<-3	0.814	1.000	Mutual exclusivity
SCIN	GAPDH	370	13	6	0	<-3	0.814	1.000	Mutual exclusivity
FSCN2	MDM4	370	13	6	0	<-3	0.814	1.000	Mutual exclusivity
SCIN	MDM4	370	13	6	0	<-3	0.814	1.000	Mutual exclusivity
PBXIP1	EPS8	371	11	7	0	<-3	0.817	1.000	Mutual exclusivity
ART1	IGSF8	371	7	11	0	<-3	0.817	1.000	Mutual exclusivity
PBXIP1	CRK	371	11	7	0	<-3	0.817	1.000	Mutual exclusivity
IGSF8	CRK	371	11	7	0	<-3	0.817	1.000	Mutual exclusivity
PBXIP1	GSN	371	11	7	0	<-3	0.817	1.000	Mutual exclusivity
IGSF8	SOX3	371	11	7	0	<-3	0.817	1.000	Mutual exclusivity
PBXIP1	SNW1	371	11	7	0	<-3	0.817	1.000	Mutual exclusivity
IGSF8	SNW1	371	11	7	0	<-3	0.817	1.000	Mutual exclusivity
PBXIP1	SHH	371	11	7	0	<-3	0.817	1.000	Mutual exclusivity
ART1	KLF8	371	7	11	0	<-3	0.817	1.000	Mutual exclusivity
CXCR2	KLF8	371	7	11	0	<-3	0.817	1.000	Mutual exclusivity
EPS8	KLF8	371	7	11	0	<-3	0.817	1.000	Mutual exclusivity
CRK	KLF8	371	7	11	0	<-3	0.817	1.000	Mutual exclusivity
GSN	KLF8	371	7	11	0	<-3	0.817	1.000	Mutual exclusivity
SOX3	KLF8	371	7	11	0	<-3	0.817	1.000	Mutual exclusivity
HAVCR2	KLF8	371	7	11	0	<-3	0.817	1.000	Mutual exclusivity
SHH	KLF8	371	7	11	0	<-3	0.817	1.000	Mutual exclusivity
CUX1	IRF8	366	19	4	0	<-3	0.818	1.000	Mutual exclusivity
ITGB4	CREB1	361	25	3	0	<-3	0.819	1.000	Mutual exclusivity
ACTN4	MMD	369	15	5	0	<-3	0.821	1.000	Mutual exclusivity
ACTN4	GLS	369	15	5	0	<-3	0.821	1.000	Mutual exclusivity
PRKCA	GLS	369	15	5	0	<-3	0.821	1.000	Mutual exclusivity
NR1I2	UBR5	351	2	36	0	<-3	0.823	1.000	Mutual exclusivity
CSF2	UBR5	351	2	36	0	<-3	0.823	1.000	Mutual exclusivity
GEMIN2	UBR5	351	2	36	0	<-3	0.823	1.000	Mutual exclusivity
UBR5	NODAL	351	36	2	0	<-3	0.823	1.000	Mutual exclusivity
STAT1	CAPNS1	367	18	4	0	<-3	0.827	1.000	Mutual exclusivity
STAT1	GSK3A	367	18	4	0	<-3	0.827	1.000	Mutual exclusivity
STAT1	IRF8	367	18	4	0	<-3	0.827	1.000	Mutual exclusivity
STAT1	EGFL7	367	18	4	0	<-3	0.827	1.000	Mutual exclusivity
SIN3A	EGFL7	367	18	4	0	<-3	0.827	1.000	Mutual exclusivity
HDAC8	FBXO11	371	6	12	0	<-3	0.828	1.000	Mutual exclusivity
FBXO11	GAPDH	371	12	6	0	<-3	0.828	1.000	Mutual exclusivity
FBXO11	MDM4	371	12	6	0	<-3	0.828	1.000	Mutual exclusivity
HDAC8	GRN	371	6	12	0	<-3	0.828	1.000	Mutual exclusivity
AQP3	GRN	371	6	12	0	<-3	0.828	1.000	Mutual exclusivity
GAPDH	GRN	371	6	12	0	<-3	0.828	1.000	Mutual exclusivity
HDAC8	PKP3	371	6	12	0	<-3	0.828	1.000	Mutual exclusivity
GAPDH	PKP3	371	6	12	0	<-3	0.828	1.000	Mutual exclusivity
HDAC8	TCF3	371	6	12	0	<-3	0.828	1.000	Mutual exclusivity
FBXW7	ELSPBP1	321	67	1	0	<-3	0.828	1.000	Mutual exclusivity
OVOL2	NUMB	372	9	8	0	<-3	0.828	1.000	Mutual exclusivity
OVOL2	TRIM62	372	9	8	0	<-3	0.828	1.000	Mutual exclusivity
MMD	HDAC6	370	5	14	0	<-3	0.832	1.000	Mutual exclusivity
HDAC6	GLS	370	14	5	0	<-3	0.832	1.000	Mutual exclusivity
MMD	CARD10	370	5	14	0	<-3	0.832	1.000	Mutual exclusivity
ARRB1	CARD10	370	5	14	0	<-3	0.832	1.000	Mutual exclusivity
TLE1	EPS8	372	10	7	0	<-3	0.832	1.000	Mutual exclusivity
CXCR2	MAPK7	372	7	10	0	<-3	0.832	1.000	Mutual exclusivity
TLE1	CRK	372	10	7	0	<-3	0.832	1.000	Mutual exclusivity
MAPK7	GSN	372	10	7	0	<-3	0.832	1.000	Mutual exclusivity
TLE1	SOX3	372	10	7	0	<-3	0.832	1.000	Mutual exclusivity
TLE1	SNW1	372	10	7	0	<-3	0.832	1.000	Mutual exclusivity
MAPK7	SNW1	372	10	7	0	<-3	0.832	1.000	Mutual exclusivity
TLE1	SHH	372	10	7	0	<-3	0.832	1.000	Mutual exclusivity
ITGA3	GSK3A	368	17	4	0	<-3	0.836	1.000	Mutual exclusivity
G3BP1	IRF8	368	17	4	0	<-3	0.836	1.000	Mutual exclusivity
ITGA3	IRF8	368	17	4	0	<-3	0.836	1.000	Mutual exclusivity
CAPNS1	TP73	368	4	17	0	<-3	0.836	1.000	Mutual exclusivity
GSK3A	TP73	368	4	17	0	<-3	0.836	1.000	Mutual exclusivity
EGFL7	TP73	368	4	17	0	<-3	0.836	1.000	Mutual exclusivity
GSK3A	FSHR	368	4	17	0	<-3	0.836	1.000	Mutual exclusivity
IRF8	FSHR	368	4	17	0	<-3	0.836	1.000	Mutual exclusivity
ITGA3	ZNF143	368	17	4	0	<-3	0.836	1.000	Mutual exclusivity
NR1I2	KMT2A	354	2	33	0	<-3	0.837	1.000	Mutual exclusivity
CSF2	KMT2A	354	2	33	0	<-3	0.837	1.000	Mutual exclusivity
GEMIN2	KMT2A	354	2	33	0	<-3	0.837	1.000	Mutual exclusivity
USP9X	CSF2	354	33	2	0	<-3	0.837	1.000	Mutual exclusivity
USP9X	GEMIN2	354	33	2	0	<-3	0.837	1.000	Mutual exclusivity
USP9X	NAMPT	354	33	2	0	<-3	0.837	1.000	Mutual exclusivity
USP9X	NODAL	354	33	2	0	<-3	0.837	1.000	Mutual exclusivity
HDAC8	PBXIP1	372	6	11	0	<-3	0.841	1.000	Mutual exclusivity
PBXIP1	AQP3	372	11	6	0	<-3	0.841	1.000	Mutual exclusivity
AQP3	IGSF8	372	6	11	0	<-3	0.841	1.000	Mutual exclusivity
GAPDH	KLF8	372	6	11	0	<-3	0.841	1.000	Mutual exclusivity
MDM4	KLF8	372	6	11	0	<-3	0.841	1.000	Mutual exclusivity
MMD	SCIN	371	5	13	0	<-3	0.843	1.000	Mutual exclusivity
FSCN2	ARRB1	371	13	5	0	<-3	0.843	1.000	Mutual exclusivity
SCIN	ARRB1	371	13	5	0	<-3	0.843	1.000	Mutual exclusivity
MMD	ETV1	371	5	13	0	<-3	0.843	1.000	Mutual exclusivity
ARRB1	ETV1	371	5	13	0	<-3	0.843	1.000	Mutual exclusivity
CAPNS1	UBE3C	369	4	16	0	<-3	0.845	1.000	Mutual exclusivity
UBE3C	GSK3A	369	16	4	0	<-3	0.845	1.000	Mutual exclusivity
GSK3A	TRIM33	369	4	16	0	<-3	0.845	1.000	Mutual exclusivity
PAK4	IRF8	369	16	4	0	<-3	0.845	1.000	Mutual exclusivity
UBE3C	IRF8	369	16	4	0	<-3	0.845	1.000	Mutual exclusivity
UBE3C	EGFL7	369	16	4	0	<-3	0.845	1.000	Mutual exclusivity
TRIM33	EGFL7	369	16	4	0	<-3	0.845	1.000	Mutual exclusivity
CAPNS1	SON	369	4	16	0	<-3	0.845	1.000	Mutual exclusivity
EED	SON	369	4	16	0	<-3	0.845	1.000	Mutual exclusivity
GSK3A	SON	369	4	16	0	<-3	0.845	1.000	Mutual exclusivity
IRF8	SON	369	4	16	0	<-3	0.845	1.000	Mutual exclusivity
PAK4	ZNF143	369	16	4	0	<-3	0.845	1.000	Mutual exclusivity
TRIM33	ZNF143	369	16	4	0	<-3	0.845	1.000	Mutual exclusivity
PTPA	SFTPC	365	3	21	0	<-3	0.846	1.000	Mutual exclusivity
SFTPC	CREB1	365	21	3	0	<-3	0.846	1.000	Mutual exclusivity
ART1	OVOL2	373	7	9	0	<-3	0.848	1.000	Mutual exclusivity
OVOL2	CXCR2	373	9	7	0	<-3	0.848	1.000	Mutual exclusivity
OVOL2	EPS8	373	9	7	0	<-3	0.848	1.000	Mutual exclusivity
OVOL2	CRK	373	9	7	0	<-3	0.848	1.000	Mutual exclusivity
OVOL2	GSN	373	9	7	0	<-3	0.848	1.000	Mutual exclusivity
OVOL2	BIRC2	373	9	7	0	<-3	0.848	1.000	Mutual exclusivity
OVOL2	SOX3	373	9	7	0	<-3	0.848	1.000	Mutual exclusivity
OVOL2	HAVCR2	373	9	7	0	<-3	0.848	1.000	Mutual exclusivity
OVOL2	SNW1	373	9	7	0	<-3	0.848	1.000	Mutual exclusivity
EPS8	AGTR1	373	7	9	0	<-3	0.848	1.000	Mutual exclusivity
CRK	AGTR1	373	7	9	0	<-3	0.848	1.000	Mutual exclusivity
GSN	AGTR1	373	7	9	0	<-3	0.848	1.000	Mutual exclusivity
SOX3	AGTR1	373	7	9	0	<-3	0.848	1.000	Mutual exclusivity
HAVCR2	AGTR1	373	7	9	0	<-3	0.848	1.000	Mutual exclusivity
SNW1	AGTR1	373	7	9	0	<-3	0.848	1.000	Mutual exclusivity
OVOL2	SHH	373	9	7	0	<-3	0.848	1.000	Mutual exclusivity
ELSPBP1	ATM	329	1	59	0	<-3	0.848	1.000	Mutual exclusivity
ELSPBP1	WWOX	329	1	59	0	<-3	0.848	1.000	Mutual exclusivity
ACTN4	EED	370	15	4	0	<-3	0.854	1.000	Mutual exclusivity
PRKCA	GSK3A	370	15	4	0	<-3	0.854	1.000	Mutual exclusivity
PRKCA	EGFL7	370	15	4	0	<-3	0.854	1.000	Mutual exclusivity
ACTN4	ZNF143	370	15	4	0	<-3	0.854	1.000	Mutual exclusivity
PRKCA	ZNF143	370	15	4	0	<-3	0.854	1.000	Mutual exclusivity
CAPNS1	PRKCA	370	4	15	0	<-3	0.854	1.000	Mutual exclusivity
FBXO11	GLS	372	12	5	0	<-3	0.854	1.000	Mutual exclusivity
MMD	FBXO11	372	5	12	0	<-3	0.854	1.000	Mutual exclusivity
ARRB1	FBXO11	372	5	12	0	<-3	0.854	1.000	Mutual exclusivity
ARRB1	GRN	372	5	12	0	<-3	0.854	1.000	Mutual exclusivity
GLS	PKP3	372	5	12	0	<-3	0.854	1.000	Mutual exclusivity
MMD	QKI	372	5	12	0	<-3	0.854	1.000	Mutual exclusivity
ARRB1	QKI	372	5	12	0	<-3	0.854	1.000	Mutual exclusivity
GLS	TCF3	372	5	12	0	<-3	0.854	1.000	Mutual exclusivity
TLE1	HDAC8	373	10	6	0	<-3	0.854	1.000	Mutual exclusivity
TLE1	AQP3	373	10	6	0	<-3	0.854	1.000	Mutual exclusivity
MAPK7	GAPDH	373	10	6	0	<-3	0.854	1.000	Mutual exclusivity
TLE1	MDM4	373	10	6	0	<-3	0.854	1.000	Mutual exclusivity
CUX1	CREB1	367	19	3	0	<-3	0.860	1.000	Mutual exclusivity
HDAC6	GSK3A	371	14	4	0	<-3	0.863	1.000	Mutual exclusivity
NRP2	GSK3A	371	14	4	0	<-3	0.863	1.000	Mutual exclusivity
HDAC6	EGFL7	371	14	4	0	<-3	0.863	1.000	Mutual exclusivity
NRP2	EGFL7	371	14	4	0	<-3	0.863	1.000	Mutual exclusivity
HDAC6	ZNF143	371	14	4	0	<-3	0.863	1.000	Mutual exclusivity
CARD10	ZNF143	371	14	4	0	<-3	0.863	1.000	Mutual exclusivity
CAPNS1	HDAC6	371	4	14	0	<-3	0.863	1.000	Mutual exclusivity
EED	NRP2	371	4	14	0	<-3	0.863	1.000	Mutual exclusivity
CAPNS1	CARD10	371	4	14	0	<-3	0.863	1.000	Mutual exclusivity
IRF8	CARD10	371	4	14	0	<-3	0.863	1.000	Mutual exclusivity
EPS8	NUMB	374	7	8	0	<-3	0.864	1.000	Mutual exclusivity
CRK	NUMB	374	7	8	0	<-3	0.864	1.000	Mutual exclusivity
BIRC2	NUMB	374	7	8	0	<-3	0.864	1.000	Mutual exclusivity
HAVCR2	NUMB	374	7	8	0	<-3	0.864	1.000	Mutual exclusivity
NUMB	SNW1	374	8	7	0	<-3	0.864	1.000	Mutual exclusivity
EPS8	TRIM62	374	7	8	0	<-3	0.864	1.000	Mutual exclusivity
CRK	TRIM62	374	7	8	0	<-3	0.864	1.000	Mutual exclusivity
GSN	TRIM62	374	7	8	0	<-3	0.864	1.000	Mutual exclusivity
SOX3	TRIM62	374	7	8	0	<-3	0.864	1.000	Mutual exclusivity
SNW1	TRIM62	374	7	8	0	<-3	0.864	1.000	Mutual exclusivity
SHH	TRIM62	374	7	8	0	<-3	0.864	1.000	Mutual exclusivity
PBXIP1	MMD	373	11	5	0	<-3	0.866	1.000	Mutual exclusivity
MMD	IGSF8	373	5	11	0	<-3	0.866	1.000	Mutual exclusivity
PBXIP1	ARRB1	373	11	5	0	<-3	0.866	1.000	Mutual exclusivity
PBXIP1	GLS	373	11	5	0	<-3	0.866	1.000	Mutual exclusivity
GLS	KLF8	373	5	11	0	<-3	0.866	1.000	Mutual exclusivity
STAT1	CREB1	368	18	3	0	<-3	0.867	1.000	Mutual exclusivity
SIN3A	CREB1	368	18	3	0	<-3	0.867	1.000	Mutual exclusivity
OVOL2	AQP3	374	9	6	0	<-3	0.868	1.000	Mutual exclusivity
OVOL2	GAPDH	374	9	6	0	<-3	0.868	1.000	Mutual exclusivity
OVOL2	MDM4	374	9	6	0	<-3	0.868	1.000	Mutual exclusivity
HDAC8	OVOL2	374	6	9	0	<-3	0.868	1.000	Mutual exclusivity
AQP3	AGTR1	374	6	9	0	<-3	0.868	1.000	Mutual exclusivity
GAPDH	AGTR1	374	6	9	0	<-3	0.868	1.000	Mutual exclusivity
FSCN2	GSK3A	372	13	4	0	<-3	0.872	1.000	Mutual exclusivity
SCIN	GSK3A	372	13	4	0	<-3	0.872	1.000	Mutual exclusivity
FSCN2	IRF8	372	13	4	0	<-3	0.872	1.000	Mutual exclusivity
SCIN	IRF8	372	13	4	0	<-3	0.872	1.000	Mutual exclusivity
FSCN2	EGFL7	372	13	4	0	<-3	0.872	1.000	Mutual exclusivity
SCIN	EGFL7	372	13	4	0	<-3	0.872	1.000	Mutual exclusivity
CAPNS1	FSCN2	372	4	13	0	<-3	0.872	1.000	Mutual exclusivity
EED	FSCN2	372	4	13	0	<-3	0.872	1.000	Mutual exclusivity
CAPNS1	SCIN	372	4	13	0	<-3	0.872	1.000	Mutual exclusivity
EED	SCIN	372	4	13	0	<-3	0.872	1.000	Mutual exclusivity
GSK3A	ETV1	372	4	13	0	<-3	0.872	1.000	Mutual exclusivity
IRF8	ETV1	372	4	13	0	<-3	0.872	1.000	Mutual exclusivity
PTPA	TP73	369	3	17	0	<-3	0.874	1.000	Mutual exclusivity
G3BP1	PTPA	369	17	3	0	<-3	0.874	1.000	Mutual exclusivity
ITGA3	CREB1	369	17	3	0	<-3	0.874	1.000	Mutual exclusivity
TP73	CREB1	369	17	3	0	<-3	0.874	1.000	Mutual exclusivity
ITGB4	NR1I2	362	25	2	0	<-3	0.875	1.000	Mutual exclusivity
ITGB4	CSF2	362	25	2	0	<-3	0.875	1.000	Mutual exclusivity
ITGB4	GEMIN2	362	25	2	0	<-3	0.875	1.000	Mutual exclusivity
ITGB4	NAMPT	362	25	2	0	<-3	0.875	1.000	Mutual exclusivity
ITGB4	NODAL	362	25	2	0	<-3	0.875	1.000	Mutual exclusivity
TLE1	MMD	374	10	5	0	<-3	0.877	1.000	Mutual exclusivity
MMD	MAPK7	374	5	10	0	<-3	0.877	1.000	Mutual exclusivity
TLE1	ARRB1	374	10	5	0	<-3	0.877	1.000	Mutual exclusivity
TLE1	GLS	374	10	5	0	<-3	0.877	1.000	Mutual exclusivity
ART1	CXCR2	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
ART1	EPS8	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
